caldt,vwretd,ewretd
01/02/1973,0.008866,0.012583
01/03/1973,0.004016,0.003607
01/04/1973,-0.001980,-0.001049
01/05/1973,0.003887,0.001154
01/08/1973,-0.000208,-0.000653
01/09/1973,-0.000821,-0.002337
01/10/1973,-0.002391,-0.003765
01/11/1973,0.006840,0.002040
01/12/1973,-0.008031,-0.010359
01/15/1973,-0.007214,-0.009260
01/16/1973,-0.002526,-0.005510
01/17/1973,0.004521,0.003767
01/18/1973,0.001475,-0.001130
01/19/1973,-0.000655,-0.004399
01/22/1973,-0.004828,-0.005741
01/23/1973,0.000242,-0.004309
01/24/1973,-0.012683,-0.014809
01/26/1973,-0.002339,-0.004628
01/29/1973,-0.003538,-0.004803
01/30/1973,-0.001212,-0.002118
01/31/1973,0.001933,0.001649
02/01/1973,-0.010907,-0.009223
02/02/1973,-0.003568,-0.003849
02/05/1973,-0.000003,-0.002023
02/06/1973,0.002161,0.000408
02/07/1973,-0.006591,-0.005096
02/08/1973,-0.003805,-0.004739
02/09/1973,0.013785,0.010628
02/12/1973,0.011907,0.011523
02/13/1973,0.006307,0.005426
02/14/1973,-0.014400,-0.012473
02/15/1973,-0.005697,-0.005473
02/16/1973,0.004819,0.001793
02/20/1973,0.003814,0.001438
02/21/1973,-0.006251,-0.007351
02/22/1973,-0.002151,-0.004391
02/23/1973,-0.010701,-0.009628
02/26/1973,-0.008438,-0.009986
02/27/1973,-0.011285,-0.009016
02/28/1973,0.007211,0.004097
03/01/1973,-0.005756,-0.004022
03/02/1973,0.011101,0.004436
03/05/1973,0.003587,0.003869
03/06/1973,0.012652,0.012131
03/07/1973,0.003203,0.005472
03/08/1973,-0.001851,-0.000844
03/09/1973,-0.003855,-0.003240
03/12/1973,0.000789,-0.001978
03/13/1973,0.005538,0.001002
03/14/1973,0.004446,0.000063
03/15/1973,-0.007426,-0.008586
03/16/1973,-0.005049,-0.004121
03/19/1973,-0.012123,-0.011198
03/20/1973,-0.002106,-0.003702
03/21/1973,-0.013273,-0.009811
03/22/1973,-0.015029,-0.014731
03/23/1973,0.000319,0.000651
03/26/1973,0.009020,0.006521
03/27/1973,0.015666,0.013793
03/28/1973,0.000615,-0.000285
03/29/1973,0.009924,0.008296
03/30/1973,-0.010651,-0.005408
04/02/1973,-0.011918,-0.008362
04/03/1973,-0.008584,-0.008504
04/04/1973,-0.004321,-0.003171
04/05/1973,-0.002308,-0.005725
04/06/1973,0.007001,0.005360
04/09/1973,0.014645,0.010534
04/10/1973,0.012361,0.010034
04/11/1973,0.004323,0.003602
04/12/1973,-0.001060,-0.000922
04/13/1973,-0.004373,-0.003551
04/16/1973,-0.005748,-0.002855
04/17/1973,-0.004431,-0.004766
04/18/1973,0.005473,0.000826
04/19/1973,0.005677,0.006623
04/23/1973,-0.005408,-0.006338
04/24/1973,-0.014126,-0.014101
04/25/1973,-0.015008,-0.015890
04/26/1973,0.004985,0.001802
04/27/1973,-0.015358,-0.011713
04/30/1973,-0.001942,-0.001825
05/01/1973,0.001491,-0.001785
05/02/1973,0.013012,0.010040
05/03/1973,0.017035,0.012272
05/04/1973,0.007605,0.009215
05/07/1973,-0.003928,-0.004310
05/08/1973,0.006578,0.005553
05/09/1973,-0.007280,-0.001331
05/10/1973,-0.008053,-0.007163
05/11/1973,-0.011926,-0.011300
05/14/1973,-0.020953,-0.020300
05/15/1973,0.006819,0.001665
05/16/1973,-0.001171,-0.003150
05/17/1973,-0.008239,-0.010670
05/18/1973,-0.016096,-0.021801
05/21/1973,-0.010703,-0.022048
05/22/1973,0.008337,0.007138
05/23/1973,0.005025,0.003954
05/24/1973,0.030336,0.022037
05/25/1973,0.007848,0.013843
05/29/1973,-0.003954,-0.001742
05/30/1973,-0.014872,-0.015253
05/31/1973,-0.009160,-0.010582
06/01/1973,-0.009730,-0.009526
06/04/1973,-0.009218,-0.010580
06/05/1973,0.016216,0.009107
06/06/1973,-0.002902,-0.004266
06/07/1973,0.014865,0.007232
06/08/1973,0.011417,0.013935
06/11/1973,-0.002822,-0.000161
06/12/1973,0.015011,0.013320
06/13/1973,-0.006451,0.001412
06/14/1973,-0.011063,-0.012843
06/15/1973,-0.012254,-0.012842
06/18/1973,-0.014369,-0.014387
06/19/1973,0.003920,-0.002045
06/20/1973,0.004345,0.001206
06/21/1973,-0.011894,-0.010918
06/22/1973,0.004823,0.002873
06/25/1973,-0.013871,-0.011427
06/26/1973,0.010459,0.005310
06/27/1973,0.003150,0.002285
06/28/1973,0.010354,0.008631
06/29/1973,-0.004096,-0.001272
07/02/1973,-0.013095,-0.009409
07/03/1973,-0.010102,-0.004626
07/05/1973,-0.000944,-0.001661
07/06/1973,-0.004926,-0.002541
07/09/1973,0.008613,0.007296
07/10/1973,0.013790,0.016335
07/11/1973,0.022279,0.026979
07/12/1973,-0.002930,0.003620
07/13/1973,-0.013465,-0.007600
07/16/1973,0.015572,0.012525
07/17/1973,0.000374,0.005242
07/18/1973,0.005974,0.010612
07/19/1973,0.001911,0.002280
07/20/1973,0.005680,0.006567
07/23/1973,0.003479,0.005667
07/24/1973,0.005952,0.003483
07/25/1973,0.014077,0.013312
07/26/1973,0.001762,0.001574
07/27/1973,-0.002562,-0.004354
07/30/1973,-0.002731,-0.003848
07/31/1973,-0.009340,-0.007930
08/01/1973,-0.012665,-0.012578
08/02/1973,-0.000817,-0.001755
08/03/1973,-0.001657,-0.000535
08/06/1973,0.002897,0.003758
08/07/1973,-0.001616,-0.000908
08/08/1973,-0.008937,-0.009101
08/09/1973,0.000544,-0.000352
08/10/1973,-0.007581,-0.008815
08/13/1973,-0.009783,-0.013972
08/14/1973,-0.009554,-0.008151
08/15/1973,0.003262,0.004099
08/16/1973,-0.006415,-0.001786
08/17/1973,-0.000051,0.001944
08/20/1973,-0.006641,-0.007236
08/21/1973,-0.007120,-0.006315
08/22/1973,-0.003466,-0.005629
08/23/1973,0.013891,0.010629
08/24/1973,-0.002101,0.000788
08/27/1973,0.008261,0.004287
08/28/1973,0.006040,0.007532
08/29/1973,0.009667,0.013693
08/30/1973,-0.001409,0.003693
08/31/1973,0.003720,0.007797
09/04/1973,0.002907,0.009504
09/05/1973,0.001336,0.004223
09/06/1973,0.004969,0.008578
09/07/1973,-0.003707,0.000881
09/10/1973,-0.008460,-0.003215
09/11/1973,-0.005947,-0.007063
09/12/1973,-0.001512,-0.002176
09/13/1973,0.003147,0.001235
09/14/1973,0.010663,0.007324
09/17/1973,-0.002715,0.005364
09/18/1973,-0.003615,0.002531
09/19/1973,0.020565,0.019195
09/20/1973,0.008384,0.013026
09/21/1973,0.004110,0.008894
09/24/1973,0.001593,0.008704
09/25/1973,0.006390,0.006657
09/26/1973,0.007245,0.011096
09/27/1973,0.002630,0.002500
09/28/1973,-0.006108,-0.003925
10/01/1973,-0.001963,0.004918
10/02/1973,0.005562,0.010609
10/03/1973,-0.000134,0.007898
10/04/1973,-0.003396,-0.002073
10/05/1973,0.013440,0.009324
10/08/1973,0.003532,0.006408
10/09/1973,-0.000783,-0.000964
10/10/1973,-0.012066,-0.014774
10/11/1973,0.017030,0.016277
10/12/1973,0.003202,0.004691
10/15/1973,-0.012347,-0.011797
10/16/1973,0.001206,-0.002504
10/17/1973,-0.002164,-0.002789
10/18/1973,0.000331,-0.002021
10/19/1973,0.002077,0.002136
10/22/1973,-0.009786,-0.011203
10/23/1973,0.005573,0.001241
10/24/1973,0.004675,0.001329
10/25/1973,0.002266,0.000093
10/26/1973,0.008043,0.009282
10/29/1973,-0.001834,-0.001657
10/30/1973,-0.015972,-0.013210
10/31/1973,-0.009362,-0.009588
11/01/1973,-0.005313,-0.010273
11/02/1973,-0.004650,-0.007012
11/05/1973,-0.014125,-0.016210
11/06/1973,-0.005295,-0.008187
11/07/1973,0.008199,0.006836
11/08/1973,0.011718,0.011116
11/09/1973,-0.014971,-0.013768
11/12/1973,-0.007875,-0.019592
11/13/1973,-0.000487,-0.012063
11/14/1973,-0.018257,-0.020838
11/15/1973,-0.000164,0.000043
11/16/1973,0.014599,0.012294
11/19/1973,-0.030490,-0.031634
11/20/1973,-0.020180,-0.029038
11/21/1973,0.011528,0.012471
11/23/1973,-0.002162,0.002296
11/26/1973,-0.028013,-0.034057
11/27/1973,-0.008736,-0.007974
11/28/1973,0.020333,0.021137
11/29/1973,-0.003292,-0.003076
11/30/1973,-0.013799,-0.014800
12/03/1973,-0.021112,-0.024897
12/04/1973,-0.003306,-0.005140
12/05/1973,-0.015358,-0.021869
12/06/1973,0.024698,0.019533
12/07/1973,0.022346,0.032685
12/10/1973,0.015037,0.016047
12/11/1973,-0.019426,-0.015794
12/12/1973,-0.025862,-0.027414
12/13/1973,-0.012730,-0.016681
12/14/1973,0.010055,0.012296
12/17/1973,-0.005801,-0.005341
12/18/1973,0.021496,0.014407
12/19/1973,0.000799,-0.000202
12/20/1973,-0.003016,-0.000959
12/21/1973,-0.010902,-0.007715
12/24/1973,-0.006754,0.001635
12/26/1973,0.031023,0.021428
12/27/1973,0.020958,0.020240
12/28/1973,-0.001711,-0.003539
12/31/1973,0.000066,0.006663
01/02/1974,0.001622,0.013609
01/03/1974,0.021486,0.037258
01/04/1974,-0.008896,0.006823
01/07/1974,-0.008302,0.002530
01/08/1974,-0.019916,-0.016664
01/09/1974,-0.028119,-0.026042
01/10/1974,-0.011050,-0.011122
01/11/1974,0.013950,0.012921
01/14/1974,-0.002472,0.002326
01/15/1974,0.008895,0.005070
01/16/1974,0.015429,0.012186
01/17/1974,0.017050,0.017600
01/18/1974,-0.017944,-0.012344
01/21/1974,-0.001386,-0.004212
01/22/1974,0.012137,0.009716
01/23/1974,0.005218,0.009311
01/24/1974,-0.002522,0.001319
01/25/1974,-0.002016,0.002160
01/28/1974,-0.005379,-0.002091
01/29/1974,-0.000406,-0.001753
